taxid	mean_conANI
28111	0.9985702195991679
376805	0.9984906930650459
291644	0.9966713480913868
1622	0.9988902334418085
28116	0.9992297066171953
301301	0.9810266902496794
817	0.9949680038229285
2025876	0.9989514395698503
47678	0.9946306712265062
2518971	0.9967211952872123
2685834	0.9962641891243527
239935	0.9992590524223022
2014541	0.9669316332553473
291645	0.997929551393848
2014542	0.9908590353932694
2755405	0.9993894192955395
1747	0.989964424563492
1796620	0.9798959247822469
454154	0.9924140870927525
2715212	0.9996251110446378
28135	0.9982343644959815
544645	0.9992386886516312
28119	0.9945637804534236
2530390	0.9957947129382775
166486	0.9915787392347047
397865	0.9967377761321474
1796613	0.9956573034025749
29347	0.978080658495054
2610895	0.9715031186976747
2093857	0.9687530694234354
2691580	0.9978436311967109
454155	0.9986838612570438
357276	0.9935428798930138
2585119	0.99921875
2530392	0.9911397927623159
2162637	0.9926992427475445
1796646	0.9984936143469979
2714358	0.9819360041876708
154046	0.9723085240936966
2364787	0.9996999865397198
2108523	0.9723584150713293
208479	0.9834107266865741
2913616	0.9972435400855316
214856	0.9996495463720213
820	0.998975168840606
371601	0.9961497064027433
52227	0.9984132402344417
2763672	0.982221464684562
328813	0.9992054329525194
328812	0.9936465864168935
1288121	0.9954881047557577
46503	0.9989763408941649
674529	0.9989966865712866
2792859	0.9976617524158599
2847299	0.9965166284378679
28118	0.9878613331970997
292800	0.969494414907343
290053	0.999673202614379
46506	0.9985125553388684
823	0.9994758369923836
538949	0.9973241142680217
2528203	0.9991661925345227
2650157	0.9925254345340448
387661	0.9934420975725377
246787	0.9989552818897037
2785531	0.9949998007489611
821	0.9989363668587962
387090	0.9943103746203772
328814	0.9952092925514122
1297617	0.9819041760822057
818	0.9990006431630682
2763056	0.9728806107649903
32025	0.999415037983581
2606626	0.9897852252974572
2576606	0.9911484235972873
2133944	0.9982602705384298
2585118	0.9946677092840741
28129	0.99829751358137
28131	0.9997718717699511
1280	0.9693068166864061
839	1.0
2913614	0.9967391304347826
562	0.9857552325316025
853	0.9938650306748467
837	0.969811320754717
1464	0.963855421686747
